Package,Version,License
tzdata,2019c,Public Domain
python-setuptools-wheel,41.6.0,MIT and (BSD or ASL 2.0)
libssh-config,0.9.4,LGPLv2+
dnf-data,4.2.21,GPLv2+ and GPLv2 and GPL
fedora-release-container,31,MIT
fedora-release-common,31,MIT
filesystem,3.12,Public Domain
coreutils-common,8.31,GPLv3+
ncurses-base,6.1,MIT
libselinux,2.9,Public Domain
glibc-minimal-langpack,2.30,LGPLv2+ and LGPLv2+ with exceptions and GPLv2+ and GPLv2+ with exceptions and BSD and Inner-Net and ISC and Public Domain and GFDL
glibc,2.30,LGPLv2+ and LGPLv2+ with exceptions and GPLv2+ and GPLv2+ with exceptions and BSD and Inner-Net and ISC and Public Domain and GFDL
libsepol,2.9,LGPLv2+
xz-libs,5.2.4,Public Domain
libdb,5.3.28,BSD and LGPLv2 and Sleepycat
libcap,2.26,GPLv2
libuuid,2.34,BSD
gmp,6.1.2,LGPLv3+ or GPLv2+
libcom_err,1.45.5,MIT
elfutils-libelf,0.179,GPLv2+ or LGPLv3+
lua-libs,5.3.5,MIT
file-libs,5.37,BSD
libattr,2.4.48,LGPLv2+
sed,4.5,GPLv3+
p11-kit,0.23.20,BSD
libidn2,2.3.0,(GPLv2+ or LGPLv3+) and GPLv3+
readline,8.0,GPLv3+
audit-libs,3.0,LGPLv2+
libstdc++,9.3.1,GPLv3+ and GPLv3+ with exceptions and GPLv2+ with exceptions and LGPLv2+ and BSD
alternatives,1.11,GPLv2
libtasn1,4.14,GPLv3+ and LGPLv2+
json-c,0.13.1,MIT
grep,3.3,GPLv3+
shadow-utils,4.6,BSD and GPLv2+
libpsl,0.21.0,MIT
vim-minimal,8.2.694,Vim and MIT
libcomps,0.1.15,GPLv2+
nettle,3.5.1,LGPLv3+ or GPLv2+
libdb-utils,5.3.28,BSD and LGPLv2 and Sleepycat
gdbm-libs,1.18.1,GPLv3+
libsigsegv,2.11,GPLv2+
libverto,0.3.0,MIT
ncurses,6.1,MIT
libtirpc,1.2.6,SISSL and BSD
python-pip-wheel,19.1.1,MIT and Python and ASL 2.0 and BSD and ISC and LGPLv2 and MPLv2.0 and (ASL 2.0 or BSD)
coreutils,8.31,GPLv3+
python3-libs,3.7.7,Python
crypto-policies,20191128,LGPLv2+
systemd-libs,243.8,LGPLv2+ and MIT
glib2,2.62.6,LGPLv2+
zchunk-libs,1.1.5,BSD and MIT
libfdisk,2.34,LGPLv2+
python3-libcomps,0.1.15,GPLv2+
